Combinacion,Casos_encontrados,Casos_totales
ANTECEDENTS_PROC_3E0337Z == 0.0 & AGE_HIGHER_60 == 1.0 & AGE_40_60 == 0 & ANTECEDENTS_PROC_3E013GC == 0 & ANTECEDENTS_PROC_3E013NZ == 0.0 & ANTECEDENTS_PROC_3E0333Z == 0.0 & ANTECEDENTS_PROC_3E033NZ == 1.0 & ANTECEDENTS_PROC_BW03ZZZ == 1.0 & SEXO == 1.0 & ANTECEDENTS_DIA_SHORT_I10 == 0 & ANTECEDENTS_PROC_5A1955Z == 0.0 & ANTECEDENTS_PROC_3E033GC == 0,1,1
ANTECEDENTS_PROC_3E0337Z == 0.0 & AGE_HIGHER_60 == 1.0 & AGE_40_60 == 0 & ANTECEDENTS_PROC_3E013GC == 0 & ANTECEDENTS_PROC_3E013NZ == 0.0 & ANTECEDENTS_PROC_3E0333Z == 0.0 & ANTECEDENTS_PROC_3E033NZ == 1.0 & ANTECEDENTS_PROC_BW03ZZZ == 1.0 & SEXO == 1.0 & ANTECEDENTS_DIA_SHORT_I10 == 0 & ANTECEDENTS_PROC_5A1955Z == 0.0 & ANTECEDENTS_PROC_3E033GC == 1,2,2
ANTECEDENTS_PROC_3E0337Z == 0.0 & AGE_HIGHER_60 == 1.0 & AGE_40_60 == 0 & ANTECEDENTS_PROC_3E013NZ == 0 & ANTECEDENTS_PROC_3E013GC == 0.0 & ANTECEDENTS_PROC_3E033NZ == 0.0 & SEXO == 1.0 & ANTECEDENTS_PROC_8E0ZXY6 == 0 & AGE_LOWER_40 == 0.0 & ANTECEDENTS_PROC_3E0F7GC == 1,1,1
ANTECEDENTS_PROC_3E0337Z == 0.0 & AGE_HIGHER_60 == 1.0 & AGE_40_60 == 0 & ANTECEDENTS_PROC_3E013GC == 1 & ANTECEDENTS_PROC_3E013NZ == 0.0 & ANTECEDENTS_PROC_3E0333Z == 0.0 & ANTECEDENTS_PROC_3E033NZ == 1.0 & ANTECEDENTS_PROC_BW03ZZZ == 0.0 & SEXO == 0,1,1
ANTECEDENTS_PROC_3E0337Z == 0.0 & AGE_HIGHER_60 == 1.0 & AGE_40_60 == 0 & ANTECEDENTS_PROC_3E013NZ == 0 & ANTECEDENTS_PROC_3E013GC == 1.0 & ANTECEDENTS_PROC_8E0ZXY6 == 1.0 & ANTECEDENTS_PROC_3E033NZ == 1.0 & AGE_LOWER_40 == 0.0 & SEXO == 0 & ANTECEDENTS_PROC_BW03ZZZ == 1 & ANTECEDENTS_DIA_SHORT_I10 == 1.0 & ANTECEDENTS_PROC_5A1955Z == 0,2,2
ANTECEDENTS_PROC_3E0337Z == 0.0 & AGE_HIGHER_60 == 1.0 & AGE_40_60 == 0 & ANTECEDENTS_PROC_3E013NZ == 0 & ANTECEDENTS_PROC_3E013GC == 1.0 & ANTECEDENTS_PROC_8E0ZXY6 == 1.0 & ANTECEDENTS_PROC_3E033NZ == 0.0 & AGE_LOWER_40 == 0.0 & SEXO == 0 & ANTECEDENTS_PROC_BW03ZZZ == 0 & ANTECEDENTS_DIA_SHORT_I10 == 1.0 & ANTECEDENTS_PROC_5A1955Z == 0,3,3
ANTECEDENTS_PROC_3E0337Z == 0.0 & AGE_HIGHER_60 == 1.0 & AGE_40_60 == 0 & ANTECEDENTS_PROC_3E013NZ == 0 & ANTECEDENTS_PROC_3E013GC == 0.0 & ANTECEDENTS_PROC_8E0ZXY6 == 1.0 & ANTECEDENTS_PROC_3E033NZ == 0.0 & AGE_LOWER_40 == 0.0 & SEXO == 0 & ANTECEDENTS_DIA_SHORT_J80 == 0 & ANTECEDENTS_DIA_SHORT_I10 == 0.0 & ANTECEDENTS_PROC_3E0333Z == 0.0 & ANTECEDENTS_PROC_3E0F7GC == 0.0 & ANTECEDENTS_PROC_BW03ZZZ == 1.0 & ANTECEDENTS_PROC_3E033GC == 0,1,1
ANTECEDENTS_PROC_3E0337Z == 0.0 & AGE_HIGHER_60 == 0.0 & AGE_40_60 == 1 & ANTECEDENTS_PROC_3E013GC == 1 & ANTECEDENTS_PROC_3E013NZ == 0.0 & ANTECEDENTS_PROC_3E0333Z == 0,9,9
ANTECEDENTS_PROC_3E0337Z == 0.0 & AGE_HIGHER_60 == 0.0 & AGE_40_60 == 1 & ANTECEDENTS_PROC_3E013GC == 1 & ANTECEDENTS_PROC_3E013NZ == 0.0 & ANTECEDENTS_PROC_3E0333Z == 1,5,5
ANTECEDENTS_PROC_3E0337Z == 0.0 & AGE_HIGHER_60 == 1.0 & AGE_40_60 == 0 & ANTECEDENTS_PROC_3E013NZ == 0 & ANTECEDENTS_PROC_3E013GC == 1.0 & ANTECEDENTS_PROC_3E033NZ == 1.0 & SEXO == 0.0 & ANTECEDENTS_PROC_8E0ZXY6 == 1 & AGE_LOWER_40 == 0.0 & ANTECEDENTS_PROC_3E0F7GC == 0 & ANTECEDENTS_DIA_SHORT_G20 == 0.0 & ANTECEDENTS_PROC_3E0333Z == 0.0 & ANTECEDENTS_DIA_SHORT_I10 == 0,2,2
ANTECEDENTS_PROC_3E0337Z == 0.0 & AGE_HIGHER_60 == 1.0 & AGE_40_60 == 0 & ANTECEDENTS_PROC_3E013NZ == 0 & ANTECEDENTS_PROC_3E013GC == 1.0 & ANTECEDENTS_PROC_3E033NZ == 1.0 & SEXO == 0.0 & ANTECEDENTS_PROC_8E0ZXY6 == 1 & AGE_LOWER_40 == 0.0 & ANTECEDENTS_PROC_3E0F7GC == 0 & ANTECEDENTS_DIA_SHORT_G20 == 0.0 & ANTECEDENTS_PROC_3E0333Z == 0.0 & ANTECEDENTS_DIA_SHORT_I10 == 1,1,1
ANTECEDENTS_PROC_3E0337Z == 0.0 & AGE_HIGHER_60 == 1.0 & AGE_40_60 == 0 & ANTECEDENTS_PROC_3E013NZ == 0 & ANTECEDENTS_PROC_3E013GC == 1.0 & ANTECEDENTS_PROC_3E033NZ == 1.0 & ANTECEDENTS_PROC_8E0ZXY6 == 1.0 & ANTECEDENTS_DIA_SHORT_I10 == 1.0 & SEXO == 0.0 & ANTECEDENTS_PROC_3E0333Z == 0,1,1
ANTECEDENTS_PROC_3E0337Z == 0.0 & AGE_HIGHER_60 == 1.0 & AGE_40_60 == 0 & ANTECEDENTS_PROC_3E013NZ == 0 & ANTECEDENTS_PROC_3E013GC == 1.0 & ANTECEDENTS_PROC_3E033NZ == 1.0 & ANTECEDENTS_PROC_8E0ZXY6 == 1.0 & ANTECEDENTS_DIA_SHORT_I10 == 1.0 & SEXO == 0.0 & ANTECEDENTS_PROC_3E0333Z == 1,2,2
ANTECEDENTS_PROC_3E0337Z == 0.0 & AGE_HIGHER_60 == 1.0 & AGE_40_60 == 0 & ANTECEDENTS_PROC_3E013NZ == 0 & ANTECEDENTS_PROC_3E013GC == 0.0 & ANTECEDENTS_PROC_8E0ZXY6 == 1.0 & ANTECEDENTS_PROC_3E033NZ == 0.0 & ANTECEDENTS_PROC_BW03ZZZ == 1.0 & SEXO == 0,2,2
ANTECEDENTS_PROC_3E0337Z == 0.0 & AGE_HIGHER_60 == 1.0 & AGE_40_60 == 0 & ANTECEDENTS_PROC_3E013NZ == 0 & ANTECEDENTS_PROC_3E013GC == 0.0 & ANTECEDENTS_PROC_8E0ZXY6 == 1.0 & ANTECEDENTS_PROC_3E033NZ == 0.0 & ANTECEDENTS_PROC_BW03ZZZ == 1.0 & SEXO == 1,4,4
ANTECEDENTS_PROC_3E0337Z == 0.0 & AGE_HIGHER_60 == 0.0 & AGE_40_60 == 1 & ANTECEDENTS_PROC_3E013NZ == 0 & ANTECEDENTS_PROC_3E013GC == 0.0 & ANTECEDENTS_PROC_3E033NZ == 0.0 & SEXO == 0.0 & ANTECEDENTS_PROC_8E0ZXY6 == 0,2,2
ANTECEDENTS_PROC_3E0337Z == 0.0 & AGE_HIGHER_60 == 0.0 & AGE_40_60 == 1 & ANTECEDENTS_PROC_3E013NZ == 0 & ANTECEDENTS_PROC_3E013GC == 0.0 & ANTECEDENTS_PROC_3E033NZ == 0.0 & SEXO == 0.0 & ANTECEDENTS_PROC_8E0ZXY6 == 1,5,5
ANTECEDENTS_PROC_3E0337Z == 0.0 & AGE_HIGHER_60 == 0.0 & AGE_40_60 == 1 & ANTECEDENTS_PROC_3E013GC == 0 & ANTECEDENTS_PROC_3E013NZ == 0.0 & ANTECEDENTS_PROC_3E0333Z == 0.0 & ANTECEDENTS_PROC_3E033NZ == 0,5,5
ANTECEDENTS_PROC_3E0337Z == 0.0 & AGE_HIGHER_60 == 0.0 & AGE_40_60 == 1 & ANTECEDENTS_PROC_3E013GC == 0 & ANTECEDENTS_PROC_3E013NZ == 0.0 & ANTECEDENTS_PROC_3E0333Z == 0.0 & ANTECEDENTS_PROC_3E033NZ == 1,8,8
ANTECEDENTS_PROC_3E0337Z == 1.0 & AGE_HIGHER_60 == 1.0 & AGE_40_60 == 0 & ANTECEDENTS_PROC_3E013NZ == 0 & ANTECEDENTS_PROC_3E013GC == 1.0 & ANTECEDENTS_PROC_3E033NZ == 0.0 & SEXO == 0.0 & ANTECEDENTS_DIA_SHORT_I10 == 0 & ANTECEDENTS_PROC_5A1955Z == 0.0 & ANTECEDENTS_PROC_8E0ZXY6 == 1.0 & ANTECEDENTS_PROC_3E0333Z == 0,2,2
ANTECEDENTS_PROC_3E0337Z == 0.0 & AGE_HIGHER_60 == 1.0 & AGE_40_60 == 0 & ANTECEDENTS_PROC_3E013NZ == 0 & ANTECEDENTS_PROC_3E013GC == 1.0 & ANTECEDENTS_PROC_3E033NZ == 0.0 & ANTECEDENTS_PROC_3E0333Z == 1.0 & SEXO == 0.0 & ANTECEDENTS_DIA_SHORT_F05 == 0 & ANTECEDENTS_PROC_8E0ZXY6 == 1.0 & ANTECEDENTS_DIA_SHORT_I10 == 1,1,1
ANTECEDENTS_PROC_3E0337Z == 0.0 & AGE_HIGHER_60 == 1.0 & AGE_40_60 == 0 & ANTECEDENTS_PROC_3E013NZ == 0 & ANTECEDENTS_PROC_3E013GC == 1.0 & ANTECEDENTS_PROC_3E033NZ == 1.0 & ANTECEDENTS_PROC_8E0ZXY6 == 1.0 & ANTECEDENTS_DIA_SHORT_I10 == 1,3,3
ANTECEDENTS_PROC_3E0337Z == 0.0 & AGE_HIGHER_60 == 1.0 & AGE_40_60 == 0 & ANTECEDENTS_PROC_3E013NZ == 0 & ANTECEDENTS_PROC_3E013GC == 0.0 & ANTECEDENTS_PROC_3E0333Z == 0.0 & ANTECEDENTS_PROC_3E033NZ == 0.0 & ANTECEDENTS_PROC_8E0ZXY6 == 0.0 & SEXO == 1.0 & ANTECEDENTS_PROC_BW03ZZZ == 1,1,1
ANTECEDENTS_PROC_3E0337Z == 0.0 & AGE_HIGHER_60 == 1.0 & AGE_40_60 == 0 & ANTECEDENTS_PROC_3E013NZ == 0 & ANTECEDENTS_PROC_3E013GC == 1.0 & ANTECEDENTS_PROC_3E033NZ == 0.0 & ANTECEDENTS_PROC_3E0333Z == 0.0 & SEXO == 0.0 & ANTECEDENTS_DIA_SHORT_F05 == 0 & ANTECEDENTS_PROC_8E0ZXY6 == 1.0 & ANTECEDENTS_DIA_SHORT_I10 == 0,2,2
ANTECEDENTS_PROC_3E0337Z == 0.0 & AGE_HIGHER_60 == 1.0 & AGE_40_60 == 0 & ANTECEDENTS_PROC_3E013NZ == 0 & ANTECEDENTS_PROC_3E013GC == 1.0 & ANTECEDENTS_PROC_3E033NZ == 0.0 & ANTECEDENTS_PROC_3E0333Z == 0.0 & SEXO == 0.0 & ANTECEDENTS_DIA_SHORT_F05 == 0 & ANTECEDENTS_PROC_8E0ZXY6 == 1.0 & ANTECEDENTS_DIA_SHORT_I10 == 1,6,6
ANTECEDENTS_PROC_3E0337Z == 0.0 & AGE_HIGHER_60 == 1.0 & AGE_40_60 == 0 & ANTECEDENTS_PROC_3E013NZ == 0 & ANTECEDENTS_PROC_3E013GC == 1.0 & ANTECEDENTS_PROC_3E033NZ == 1.0 & SEXO == 0.0 & ANTECEDENTS_DIA_SHORT_I10 == 1,3,3
ANTECEDENTS_PROC_3E0337Z == 1.0 & AGE_HIGHER_60 == 1.0 & AGE_40_60 == 0 & ANTECEDENTS_PROC_3E013NZ == 0 & ANTECEDENTS_PROC_3E013GC == 1.0 & ANTECEDENTS_PROC_3E033NZ == 1.0 & ANTECEDENTS_PROC_8E0ZXY6 == 1.0 & ANTECEDENTS_DIA_SHORT_I10 == 0.0 & SEXO == 1.0 & ANTECEDENTS_PROC_3E0333Z == 0,3,3
ANTECEDENTS_PROC_3E0337Z == 0.0 & AGE_HIGHER_60 == 0.0 & AGE_40_60 == 1 & ANTECEDENTS_PROC_3E013NZ == 0 & ANTECEDENTS_PROC_3E013GC == 1.0 & ANTECEDENTS_PROC_8E0ZXY6 == 1.0 & ANTECEDENTS_PROC_3E033NZ == 1.0 & AGE_LOWER_40 == 0.0 & SEXO == 1 & ANTECEDENTS_PROC_BW03ZZZ == 1,2,2
ANTECEDENTS_PROC_3E0337Z == 0.0 & AGE_HIGHER_60 == 1.0 & AGE_40_60 == 0 & ANTECEDENTS_PROC_3E013NZ == 0 & ANTECEDENTS_PROC_3E013GC == 1.0 & ANTECEDENTS_PROC_3E0333Z == 0.0 & ANTECEDENTS_PROC_3E033NZ == 0.0 & ANTECEDENTS_PROC_8E0ZXY6 == 1.0 & SEXO == 0.0 & ANTECEDENTS_PROC_BW03ZZZ == 0,3,3
ANTECEDENTS_PROC_3E0337Z == 0.0 & AGE_HIGHER_60 == 1.0 & AGE_40_60 == 0 & ANTECEDENTS_PROC_3E013NZ == 0 & ANTECEDENTS_PROC_3E013GC == 1.0 & ANTECEDENTS_PROC_3E0333Z == 0.0 & ANTECEDENTS_PROC_3E033NZ == 0.0 & ANTECEDENTS_PROC_8E0ZXY6 == 1.0 & SEXO == 0.0 & ANTECEDENTS_PROC_BW03ZZZ == 1,5,5
ANTECEDENTS_PROC_3E0337Z == 0.0 & AGE_HIGHER_60 == 1.0 & AGE_40_60 == 0 & ANTECEDENTS_PROC_3E013NZ == 0 & ANTECEDENTS_PROC_3E013GC == 1.0 & ANTECEDENTS_PROC_3E033NZ == 0.0 & SEXO == 0,10,10
ANTECEDENTS_PROC_3E0337Z == 0.0 & AGE_HIGHER_60 == 1.0 & AGE_40_60 == 0 & ANTECEDENTS_PROC_3E013NZ == 0 & ANTECEDENTS_PROC_3E013GC == 1.0 & ANTECEDENTS_PROC_3E033NZ == 0.0 & SEXO == 1,11,11
ANTECEDENTS_PROC_3E0337Z == 0.0 & AGE_HIGHER_60 == 1.0 & AGE_40_60 == 0 & ANTECEDENTS_PROC_3E013NZ == 0 & ANTECEDENTS_PROC_3E013GC == 0.0 & ANTECEDENTS_PROC_3E033NZ == 0.0 & ANTECEDENTS_PROC_3E0333Z == 1.0 & SEXO == 0.0 & ANTECEDENTS_DIA_SHORT_F05 == 0 & ANTECEDENTS_PROC_8E0ZXY6 == 0,1,1
ANTECEDENTS_PROC_3E0337Z == 0.0 & AGE_HIGHER_60 == 0.0 & AGE_40_60 == 1 & ANTECEDENTS_PROC_3E013NZ == 0 & ANTECEDENTS_PROC_3E013GC == 1.0 & ANTECEDENTS_PROC_3E033NZ == 1.0 & ANTECEDENTS_PROC_3E0333Z == 0,5,5
ANTECEDENTS_PROC_3E0337Z == 0.0 & AGE_HIGHER_60 == 0.0 & AGE_40_60 == 1 & ANTECEDENTS_PROC_3E013NZ == 0 & ANTECEDENTS_PROC_3E013GC == 1.0 & ANTECEDENTS_PROC_3E033NZ == 1.0 & ANTECEDENTS_PROC_3E0333Z == 1,3,3
ANTECEDENTS_PROC_3E0337Z == 0.0 & AGE_HIGHER_60 == 0.0 & AGE_40_60 == 1 & ANTECEDENTS_PROC_3E013NZ == 0 & ANTECEDENTS_PROC_3E013GC == 1.0 & ANTECEDENTS_PROC_8E0ZXY6 == 1.0 & ANTECEDENTS_PROC_3E033NZ == 1.0 & AGE_LOWER_40 == 0.0 & SEXO == 1 & ANTECEDENTS_DIA_SHORT_J80 == 0 & ANTECEDENTS_DIA_SHORT_I10 == 0,2,2
ANTECEDENTS_PROC_3E0337Z == 0.0 & AGE_HIGHER_60 == 0.0 & AGE_40_60 == 1 & ANTECEDENTS_PROC_3E013NZ == 0 & ANTECEDENTS_PROC_3E013GC == 1.0 & ANTECEDENTS_PROC_3E033NZ == 1.0 & ANTECEDENTS_PROC_8E0ZXY6 == 1.0 & ANTECEDENTS_DIA_SHORT_I10 == 0,7,7
ANTECEDENTS_PROC_3E0337Z == 0.0 & AGE_HIGHER_60 == 0.0 & AGE_40_60 == 1 & ANTECEDENTS_PROC_3E013NZ == 0 & ANTECEDENTS_PROC_3E013GC == 1.0 & ANTECEDENTS_PROC_3E033NZ == 1.0 & ANTECEDENTS_PROC_8E0ZXY6 == 1.0 & ANTECEDENTS_DIA_SHORT_I10 == 1,1,1
ANTECEDENTS_PROC_3E0337Z == 0.0 & AGE_HIGHER_60 == 1.0 & AGE_40_60 == 0 & ANTECEDENTS_PROC_3E013NZ == 0 & ANTECEDENTS_PROC_3E013GC == 0.0 & ANTECEDENTS_PROC_8E0ZXY6 == 1.0 & ANTECEDENTS_PROC_3E033NZ == 0.0 & AGE_LOWER_40 == 0.0 & SEXO == 0 & ANTECEDENTS_PROC_BW03ZZZ == 1 & ANTECEDENTS_DIA_SHORT_I10 == 0.0 & ANTECEDENTS_PROC_5A1955Z == 0,1,1
ANTECEDENTS_PROC_3E0337Z == 0.0 & AGE_HIGHER_60 == 1.0 & AGE_40_60 == 0 & ANTECEDENTS_PROC_3E013NZ == 0 & ANTECEDENTS_PROC_3E013GC == 1.0 & ANTECEDENTS_PROC_8E0ZXY6 == 1.0 & ANTECEDENTS_PROC_3E033NZ == 0.0 & ANTECEDENTS_PROC_BW03ZZZ == 0,6,6
ANTECEDENTS_PROC_3E0337Z == 0.0 & AGE_HIGHER_60 == 1.0 & AGE_40_60 == 0 & ANTECEDENTS_PROC_3E013NZ == 0 & ANTECEDENTS_PROC_3E013GC == 1.0 & ANTECEDENTS_PROC_8E0ZXY6 == 1.0 & ANTECEDENTS_PROC_3E033NZ == 0.0 & ANTECEDENTS_PROC_BW03ZZZ == 1,11,11
ANTECEDENTS_PROC_3E0337Z == 0.0 & AGE_HIGHER_60 == 1.0 & AGE_40_60 == 0 & ANTECEDENTS_PROC_3E013NZ == 0 & ANTECEDENTS_PROC_3E013GC == 1.0 & ANTECEDENTS_PROC_8E0ZXY6 == 1.0 & ANTECEDENTS_PROC_3E033NZ == 1.0 & ANTECEDENTS_PROC_BW03ZZZ == 1.0 & SEXO == 0.0 & ANTECEDENTS_PROC_3E033GC == 1,2,2
ANTECEDENTS_PROC_3E0337Z == 0.0 & AGE_HIGHER_60 == 1.0 & AGE_40_60 == 0 & ANTECEDENTS_PROC_3E013NZ == 0 & ANTECEDENTS_PROC_3E013GC == 0.0 & ANTECEDENTS_PROC_8E0ZXY6 == 1.0 & ANTECEDENTS_PROC_3E033NZ == 0.0 & ANTECEDENTS_PROC_BW03ZZZ == 1.0 & SEXO == 0.0 & ANTECEDENTS_PROC_3E033GC == 0,2,2
ANTECEDENTS_PROC_3E0337Z == 0.0 & AGE_HIGHER_60 == 1.0 & AGE_40_60 == 0 & ANTECEDENTS_PROC_3E013NZ == 0 & ANTECEDENTS_PROC_3E013GC == 1.0 & ANTECEDENTS_PROC_3E0333Z == 0.0 & ANTECEDENTS_PROC_3E033NZ == 1.0 & ANTECEDENTS_PROC_8E0ZXY6 == 1.0 & SEXO == 0.0 & ANTECEDENTS_PROC_BW03ZZZ == 0,1,1
ANTECEDENTS_PROC_3E0337Z == 0.0 & AGE_HIGHER_60 == 1.0 & AGE_40_60 == 0 & ANTECEDENTS_PROC_3E013NZ == 0 & ANTECEDENTS_PROC_3E013GC == 1.0 & ANTECEDENTS_PROC_3E0333Z == 0.0 & ANTECEDENTS_PROC_3E033NZ == 1.0 & ANTECEDENTS_PROC_8E0ZXY6 == 1.0 & SEXO == 0.0 & ANTECEDENTS_PROC_BW03ZZZ == 1,2,2
ANTECEDENTS_PROC_3E0337Z == 0.0 & AGE_HIGHER_60 == 1.0 & AGE_40_60 == 0 & ANTECEDENTS_PROC_3E013NZ == 0 & ANTECEDENTS_PROC_3E013GC == 1.0 & ANTECEDENTS_PROC_3E033NZ == 0.0 & ANTECEDENTS_PROC_8E0ZXY6 == 1.0 & ANTECEDENTS_DIA_SHORT_I10 == 1.0 & SEXO == 0,7,7
ANTECEDENTS_PROC_3E0337Z == 0.0 & AGE_HIGHER_60 == 1.0 & AGE_40_60 == 0 & ANTECEDENTS_PROC_3E013NZ == 0 & ANTECEDENTS_PROC_3E013GC == 1.0 & ANTECEDENTS_PROC_3E033NZ == 0.0 & ANTECEDENTS_PROC_8E0ZXY6 == 1.0 & ANTECEDENTS_DIA_SHORT_I10 == 1.0 & SEXO == 1,5,5
ANTECEDENTS_PROC_3E0337Z == 1.0 & AGE_HIGHER_60 == 1.0 & AGE_40_60 == 0 & ANTECEDENTS_PROC_3E013NZ == 0 & ANTECEDENTS_PROC_3E013GC == 1.0 & ANTECEDENTS_PROC_8E0ZXY6 == 1.0 & ANTECEDENTS_PROC_3E033NZ == 1.0 & AGE_LOWER_40 == 0.0 & SEXO == 1 & ANTECEDENTS_DIA_SHORT_J80 == 0 & ANTECEDENTS_DIA_SHORT_I10 == 0.0 & ANTECEDENTS_PROC_3E0333Z == 0,3,3
ANTECEDENTS_PROC_3E0337Z == 0.0 & AGE_HIGHER_60 == 0.0 & AGE_40_60 == 1 & ANTECEDENTS_PROC_3E013NZ == 0 & ANTECEDENTS_PROC_3E013GC == 1.0 & ANTECEDENTS_PROC_3E0333Z == 1.0 & ANTECEDENTS_PROC_3E033NZ == 1.0 & ANTECEDENTS_PROC_8E0ZXY6 == 1.0 & SEXO == 0,2,2
ANTECEDENTS_PROC_3E0337Z == 0.0 & AGE_HIGHER_60 == 0.0 & AGE_40_60 == 1 & ANTECEDENTS_PROC_3E013NZ == 0 & ANTECEDENTS_PROC_3E013GC == 1.0 & ANTECEDENTS_PROC_3E0333Z == 1.0 & ANTECEDENTS_PROC_3E033NZ == 1.0 & ANTECEDENTS_PROC_8E0ZXY6 == 1.0 & SEXO == 1,1,1
